Rank,TeamId,TeamMemberUserNames,Score
64,12045659,ankitagosavi,0.71931
65,12070462,laibakhan3250,0.71926
66,12046334,rkar0041,0.71924
67,12103571,aaronsee8,0.71923
68,12000741,numbat,0.71922
69,12115118,jonathanly1,0.71921
70,12063305,jananeemohan,0.71915
71,12067282,jeromelabutte,0.71914
72,12060812,shalininair18,0.71907
73,12088349,ncha0098,0.71905
74,12098763,shafidislam,0.71903
75,12099120,tahongying,0.71902
76,12090827,frederickau,0.719
77,12062216,smah0071,0.71895
78,12085861,anirudhgururaj,0.71894
79,12099390,qdoo0007,0.71877
80,12101833,januliliyanage,0.71874
81,12078315,ashtonlay,0.71872
82,12067605,siddarthkrishnakumar,0.71872
83,12065210,mikeyong,0.71865
84,12059996,evanhginting,0.71865
85,12064738,prabhathummiti,0.71863
86,12067969,imesharangala,0.71861
87,12083486,truongnguyen23,0.71855
88,12112473,prajaktachavan0096,0.71851
89,12047584,louisagoh,0.71843
90,12093475,stellatian,0.71841
91,12083272,ryanchowdhury17,0.7183
92,12104081,junbinl,0.71828
93,12088501,priyashasaini,0.71828
94,12063816,ashleyy1,0.71827
95,12078259,ashvinranatunga,0.71814
96,12045169,jonathonlouey,0.71812
97,12078586,lewishuang4445,0.71807
98,12113294,guanruchen,0.71806
99,12075615,dannytouretski,0.71798
100,12097758,isaactyrone,0.71798
101,12099539,jackiejiaqixu,0.71797
102,12060181,harshjain0003,0.71794
103,12068336,sasiwiphasrikueakun,0.71794
104,12100517,albertyuhaolong,0.71792
105,12069913,yashikataneja28,0.7179
106,12113744,runqixu,0.7179
107,12055792,akankshas03,0.71789
108,12112787,thimyngoctran,0.71788
109,12057869,maliny,0.71788
110,12107047,nathanaelhunter,0.71785
111,12050747,jasminedbell,0.71785
112,12049917,madhabroy,0.71782
113,12113771,prachetaskumbhojkar,0.71781
114,12074388,hardikdixit14,0.71779
115,12098513,claire4747,0.71778
116,12067604,swan0278,0.71775
117,12070242,jingranzhu,0.71772
118,12070051,yanjinghao,0.71772
119,12059878,lucyfield,0.7177
120,12072958,yuelynn,0.71763
121,12109420,minhphamkhanh,0.71757
122,12084641,lucasthermos,0.71756
123,12067320,zly817819,0.7175
124,12122481,stefansu3526,0.71747
125,12063930,ages0001,0.71743
126,12093459,mzen0003,0.71737
127,12059684,santtupihanurmi,0.7173
128,12103531,parnikakhattri,0.71718
129,12100949,shabarishsai,0.71716
130,12089231,houyepu,0.71715
131,12107446,junhuangwinwin,0.7171
132,12097041,braj0004,0.71695
133,12094511,jaehuipark1,0.71683
134,12107337,jeffinjoseee,0.71681
135,12114976,willeap,0.71681
136,12084863,patrickmcclelland,0.71674
137,12083843,aidenmitsel,0.71671
138,12068956,tianjiaosong,0.71656
139,12119135,ellie0527lu,0.71652
140,12078844,jaysangani04,0.71649
141,12103378,annielala,0.7164
142,12075375,tanishjohar,0.71631
143,12059676,sheamcnaughton1,0.71627
144,12068529,jimmyncx,0.71624
145,12061402,dimgiannakoudakis,0.716
146,12068471,phunghaiphan,0.71576
147,12068381,anhthukieu,0.71529
148,12088478,xiaoyaolipeter,0.71484
149,12119229,neilstudent,0.71484
150,12094618,garlicnaaaaan,0.71449
151,12078317,valerielay,0.71405
152,12068445,laishuncheong,0.71385
153,12068054,aimeealt,0.71371
154,12079433,nhuminhkhuenguyen,0.71362
155,12089727,hariboaddict,0.71283
156,12081139,yidetao,0.71276
157,12066751,brianmakumb,0.71204
158,12088250,christophercohen39,0.71153
159,12057034,ogeliasrenger,0.71043
160,12059592,averiepham,0.71017
161,12067273,pranavshank,0.71015
162,12117486,sachinthenakaran,0.70799
163,12069069,somani24,0.7077
164,12112692,anniyangannie,0.70342
165,12045192,reokurata,0.7014
166,12068346,minsha07,0.69836
167,12114319,pashaakbarzadeh,0.69746
168,12112339,zacharychan0392,0.68949
169,12117191,kaonemorapedi,0.68418
170,12088325,ignaciomorfin,0.68409
171,12049771,tengmcing2,0.66681
172,12118717,kieranlewis,0.63768
173,12114376,riaparmar1,0.60416
174,12121992,seetee,0.58815
